generation,leftchild,rightchild,abstime,lambdainit,lambdashift,muinit,mushift
0,Carcta,Carctiformis,0,0.032,0,0.005,0
1000,Carcta,Carctiformis,0,0.359072,0.0485742,0.0170201,0
2000,Carcta,Carctiformis,0,0.792301,-0.0694732,0.218705,0
3000,Carcta,Carctiformis,0,0.456084,-0.0133103,0.0921953,0
3000,Cbrunnescens,Ckreczetoviczii,3.64867,1.42518,-0.0238292,0.669763,0
4000,Carcta,Carctiformis,0,0.703008,-0.0815545,0.19686,0
5000,Carcta,Carctiformis,0,0.330533,0.00268313,0.0219368,0
6000,Carcta,Carctiformis,0,0.983849,-0.0504496,0.427022,0
7000,Carcta,Carctiformis,0,0.465308,0.00574069,0.092181,0
8000,Carcta,Carctiformis,0,0.621349,-0.0727591,0.111877,0
9000,Carcta,Carctiformis,0,0.701178,-0.0596663,0.187639,0
10000,Carcta,Carctiformis,0,0.953609,-0.0737759,0.425541,0
11000,Carcta,Carctiformis,0,0.442559,-0.0646336,0.0274481,0
12000,Carcta,Carctiformis,0,0.783071,-0.0884507,0.0534937,0
12000,Cbrunnescens,Ckreczetoviczii,4.52113,1.11256,0.0703273,0.292462,0
13000,Carcta,Carctiformis,0,0.553561,-0.0471583,0.0138318,0
14000,Carcta,Carctiformis,0,0.395622,-0.0591709,0.00503362,0
14000,Carctiformis,Cpraeceptorum,4.36744,0.47663,0.00953392,0.00689043,0
14000,Cloliacea,NA,6.33129,2.45292,-0.0369615,0.695849,0
15000,Carcta,Carctiformis,0,0.384695,-0.00271527,0.0680057,0
15000,Cfurva,Cnewspecies,4.49258,0.566781,-0.0557938,0.284379,0
16000,Carcta,Carctiformis,0,0.520054,-0.070326,0.0431385,0
17000,Carcta,Carctiformis,0,0.453132,-0.00285211,0.045975,0
18000,Carcta,Carctiformis,0,0.755055,-0.0908827,0.0093663,0
18000,Cnewspecies,NA,5.96827,0.724296,0.0684827,1.05685,0
19000,Carcta,Carctiformis,0,0.377075,0.072349,0.262844,0
20000,Carcta,Carctiformis,0,0.420917,-0.0354706,0.0525061,0
21000,Carcta,Carctiformis,0,0.357524,0.0861343,0.0489046,0
22000,Carcta,Carctiformis,0,1.13513,-0.13706,0.192846,0
23000,Carcta,Carctiformis,0,0.457942,-0.0182031,0.0612656,0
24000,Carcta,Carctiformis,0,0.401658,0.0100536,0.0335957,0
25000,Carcta,Carctiformis,0,0.356972,0.022272,0.0101253,0
26000,Carcta,Carctiformis,0,0.367239,-0.00720816,0.0269496,0
26000,Cdiastena,NA,4.64603,0.103583,-0.130126,0.375793,0
26000,Cnewspecies,NA,5.86848,0.865518,0.0358279,1.41604,0
27000,Carcta,Carctiformis,0,0.617604,-0.0682815,0.173781,0
28000,Carcta,Carctiformis,0,0.338466,0.0557872,0.0704665,0
28000,Carcta,Claeviculmis,2.65817,0.113847,0.00725578,0.000869686,0
29000,Carcta,Carctiformis,0,0.467099,-0.00790259,0.201412,0
30000,Carcta,Carctiformis,0,0.603913,-0.0777616,0.0985805,0
30000,Clapponica,NA,5.46343,0.570749,-0.038823,1.46189,0
31000,Carcta,Carctiformis,0,0.356865,0.0374262,0.00395804,0
31000,Ctraiziscana,NA,6.35415,0.14602,-0.0922939,0.0936096,0
32000,Carcta,Carctiformis,0,0.512702,-0.10097,0.0675449,0
33000,Carcta,Carctiformis,0,0.662471,-0.023018,0.0445664,0
34000,Carcta,Carctiformis,0,0.443548,-0.0196611,0.00252725,0
35000,Carcta,Carctiformis,0,0.45514,-0.0453646,0.10303,0
36000,Carcta,Carctiformis,0,0.499354,-0.0139016,0.0802764,0
37000,Carcta,Carctiformis,0,0.516571,-0.0227913,0.00699371,0
38000,Carcta,Carctiformis,0,0.653598,-0.0236681,0.197091,0
39000,Carcta,Carctiformis,0,0.58597,-0.112317,0.06426,0
40000,Carcta,Carctiformis,0,0.430232,0.0188152,0.0226713,0
41000,Carcta,Carctiformis,0,0.590617,-0.0885127,0.0830885,0
42000,Carcta,Carctiformis,0,0.475112,-0.0727076,0.0464309,0
42000,Ctraiziscana,NA,5.37445,0.879018,0.0320091,1.09619,0
42000,Cdiastena,NA,5.31059,0.0426798,-0.0422049,0.96009,0
43000,Carcta,Carctiformis,0,0.422883,-0.0384624,0.0205823,0
